player_id,team_id,label,is_active
8474716,MIN,J. Spurgeon,0
8482661,MIN,J. Wallstedt,0
8478864,MIN,K. Kaprizov,1
8481557,MIN,M. Boldy,0
8475220,MIN,M. Foligno,0
8475149,MIN,M. Johansson,0
8475692,MIN,M. Zuccarello,0
8481477,MIN,N. Sturm,0
8480800,MIN,Q. Hughes,0
8477451,MIN,R. Hartman,0
8475752,MIN,T. Pitlick,0
8476994,MIN,V. Hinostroza,0
8475765,MIN,V. Tarasenko,1
8478508,MIN,Y. Trenin,1
8474567,MIN,Z. Bogosian,0
8478851,MTL,A. Carrier,0
8480074,MTL,A. Texier,0
8482964,MTL,A. Xhekaj,0
8475848,MTL,B. Gallagher,0
8481540,MTL,C. Caufield,0
8484984,MTL,I. Demidov,1
8476981,MTL,J. Anderson,0
8482487,MTL,J. Dobes,0
8478133,MTL,J. Evans,0
8483515,MTL,J. Slafkovský,0
8481593,MTL,J. Struble,0
8480813,MTL,J. Veleno,0
8481523,MTL,K. Dach,0
8482087,MTL,K. Guhle,0
8483457,MTL,L. Hutson,0
8476875,MTL,M. Matheson,0
8480865,MTL,N. Dobson,0
8480018,MTL,N. Suzuki,0
8482775,MTL,O. Kapanen,0
8476479,MTL,P. Danault,0
8478470,MTL,S. Montembeault,0
8482737,MTL,Z. Bolduc,0
8481721,NJD,A. Gritsyuk,0
8475455,NJD,B. Dillon,0
8477488,NJD,B. Pesce,0
8477015,NJD,C. Brown,0
8479996,NJD,C. Glass,0
8476462,NJD,D. Hamilton,0
8482110,NJD,D. Mercer,0
8474149,NJD,E. Dadonov,1
8474596,NJD,J. Allen,0
8479407,NJD,J. Bratt,0
8481559,NJD,J. Hughes,0
8480192,NJD,J. Kovacevic,0
8477996,NJD,J. Lammikko,0
8474593,NJD,J. Markstrom,0
8478399,NJD,J. Siegenthaler,0
8476822,NJD,L. Glendening,0
8484177,NJD,L. Hameenaho,0
8484958,NJD,M. Tsyplakov,1
8475760,NJD,N. Bjugstad,0
8480002,NJD,N. Hischier,0
8476292,NJD,O. Palat,0
8481032,NJD,P. Cotter,0
8483495,NJD,S. Nemec,0
8478414,NJD,T. Meier,0
8477971,NSH,A. Englund,0
8482482,NSH,A. Wilsby,0
8476869,NSH,B. Skjei,0
